precision,recall,threshold
0.05257731958762887,1.0,8.46941025212567e-06
0.05263157894736842,1.0,8.484386598214864e-06
0.052795031055900624,1.0,8.484435104598959e-06
0.05284974093264249,1.0,8.505551713230835e-06
0.052904564315352696,1.0,8.510360554237897e-06
0.053125,1.0,8.519579798864868e-06
0.053180396246089674,1.0,8.54240039438179e-06
0.05323590814196242,1.0,8.545835135755495e-06
0.05329153605015674,1.0,8.568669472228161e-06
0.053347280334728034,1.0,8.569132101866464e-06
0.05340314136125655,1.0,8.572114031828676e-06
0.05357142857142857,1.0,8.574884959020077e-06
0.05385427666314678,1.0,8.576005456492661e-06
0.05391120507399577,1.0,8.580101820629447e-06
0.05396825396825397,1.0,8.586823291699904e-06
0.05402542372881356,1.0,8.594044504272244e-06
0.05408271474019088,1.0,8.604862510720315e-06
0.054140127388535034,1.0,8.605011667851406e-06
0.05448717948717949,1.0,8.61565881916016e-06
0.05454545454545454,1.0,8.64583706602459e-06
0.05477980665950591,1.0,8.668140301431266e-06
0.05501618122977346,1.0,8.699880453863538e-06
0.05543478260869565,1.0,8.705212518135133e-06
0.05579868708971553,1.0,8.732584064349889e-06
0.05616740088105727,1.0,8.735024541799647e-06
0.05622932745314223,1.0,8.736097745547739e-06
0.056291390728476824,1.0,8.761374422299412e-06
0.05641592920353982,1.0,8.765894004637423e-06
0.05660377358490566,1.0,8.808538998543953e-06
0.056666666666666664,1.0,8.815953021230227e-06
0.05672969966629588,1.0,8.83159105125509e-06
0.05717488789237668,1.0,8.862962555168244e-06
0.05730337078651685,1.0,8.863676205344235e-06
0.05736782902137233,1.0,8.866827907650779e-06
0.0576271186440678,1.0,8.871023709874957e-06
0.057692307692307696,1.0,8.886800371947823e-06
0.057757644394110984,1.0,8.90567325821466e-06
0.05782312925170068,1.0,8.929669747234679e-06
0.05802047781569966,1.0,8.932321227455248e-06
0.05808656036446469,1.0,8.944754020028484e-06
0.05815279361459521,1.0,9.026446220843637e-06
0.05821917808219178,1.0,9.032461444758857e-06
